1 (ML): CIA E2 MWT 65 (10, H2Hn)
401 (S): PCE A1 GBE 4 (5, H2Nn)
402 (S): GBE 4 PCE A1 (5, H2Nn)
403 (S): PCE A1 FCE 3 (5, H2Nn)
404 (S): FCE 3 PCE A1 (5, H2Nn)
405 (S): PCE A1 EBI E3 (5, H2Nn)
406 (S): EBI E3 PCE A1 (5, H2Nn)
407 (S): PCE A1 DHA 14 (5, H2Nn)
408 (S): DHA 14 PCE A1 (5, H2Nn)
501 (S): MWT 48 OSI A2 (8, H2Nn)
502 (S): OSI A2 MWT 48 (8, H2Nn)
503 (S): MWT 48 CYR C9 (7, H2Nn)
504 (S): CYR C9 MWT 48 (7, H2Nn)
505 (M): MWT 75 TBI 7 (7, H2Nn)
506 (M): TBI 7 MWT 75 (7, H2Nn)
507 (S): MWT 48 GEP ?2 (3, H2Nn)
508 (S): GEP ?2 MWT 48 (3, H2Nn)
509 (S): MWT 48 LNT B10 (3, H2Nn)
510 (S): LNT B10 MWT 48 (3, H2Nn)
511 (S): MWT 48 FWC B6 (3, H2Nn)
512 (S): FWC B6 MWT 48 (3, H2Nn)
513 (S): MWT 47 ZRZ 2 (5, H2Nn)
514 (S): ZRZ 2 MWT 47 (5, H2Nn)
515 (S): MWT 47 VEX 3 (4, H2Nn)
516 (S): VEX 3 MWT 47 (4, H2Nn)
517 (S): MWT 47 SVS B1 (3, H2Nn)
518 (S): SVS B1 MWT 47 (3, H2Nn)
519 (S): MWT 47 SSR A5 (3, H2Nn)
520 (S): SSR A5 MWT 47 (3, H2Nn)
521 (S): MWT 47 SIA A3 (2, H2Nn)
522 (S): SIA A3 MWT 47 (2, H2Nn)
523 (S): MWT 46 RSN 4 (5, H2Nn)
524 (S): RSN 4 MWT 46 (5, H2Nn)
525 (S): MWT 46 RED 9 (4, H2Nn)
526 (S): RED 9 MWT 46 (4, H2Nn)
527 (S): MWT 46 PMA 2 (3, H2Nn)
528 (S): PMA 2 MWT 46 (3, H2Nn)
529 (S): MWT 46 NGY B5 (2, H2Nn)
530 (S): NGY B5 MWT 46 (2, H2Nn)
531 (S): MWT 46 MCI 24 (3, H2Nn)
532 (S): MCI 24 MWT 46 (3, H2Nn)
533 (S): MWT 11 LPI 03 (5, H2Nn)
534 (S): LPI 03 MWT 11 (5, H2Nn)
535 (S): MWT 11 LFA B2 (4, H2Nn)
536 (S): LFA B2 MWT 11 (4, H2Nn)
537 (S): MWT 11 HND 106 (4, H2Nn)
538 (S): HND 106 MWT 11 (4, H2Nn)
539 (S): MWT 11 GSM 7 (4, H2Nn)
540 (S): GSM 7 MWT 11 (4, H2Nn)
541 (S): MWT 11 GSA 5 (4, H2Nn)
542 (S): GSA 5 MWT 11 (4, H2Nn)
543 (S): MWT 10 GLA 5 (5, H2Nn)
544 (S): GLA 5 MWT 10 (5, H2Nn)
545 (S): MWT 10 GBE 4 (4, H2Nn)
546 (S): GBE 4 MWT 10 (4, H2Nn)
547 (S): MWT 10 DHA 14 (4, H2Nn)
548 (S): DHA 14 MWT 10 (4, H2Nn)
549 (S): MWT 10 CWB 6 (5, H2Nn)
550 (S): CWB 6 MWT 10 (5, H2Nn)
551 (S): MWT 10 CAL B4 (5, H2Nn)
552 (S): CAL B4 MWT 10 (5, H2Nn)
553 (S): MWT 9 AXB 3 (5, H2Nn)
554 (S): AXB 3 MWT 9 (5, H2Nn)
555 (S): MWT 9 ARD 3 (5, H2Nn)
556 (S): ARD 3 MWT 9 (5, H2Nn)
557 (S): MWT 9 AMA 13 (5, H2Nn)
558 (S): AMA 13 MWT 9 (5, H2Nn)
559 (S): MWT 9 AIS 5 (5, H2Nn)
560 (S): AIS 5 MWT 9 (5, H2Nn)
561 (S): MWT 9 AFK B15 (5, H2Nn)
562 (S): AFK B15 MWT 9 (5, H2Nn)
563 (ML): MWT 65 MLH D4 (2, H2Ne)
564 (ML): MLH D4 MWT 65 (2, H2Ne)
565 (ML): MWT 65 CWI 8 (3, H2Ne)
566 (ML): CWI 8 MWT 65 (3, H2Ne)
567 (M): MWT 75 CHB 32 (1, H2Ne)
568 (M): CHB 32 MWT 75 (1, H2Ne)
569 (M): MWT 75 SSI B2 (0, H2Ne)
570 (M): SSI B2 MWT 75 (0, H2Ne)
571 (ML): MWT 65 IXM C27 (0, H2Ne)
572 (ML): IXM C27 MWT 65 (0, H2Ne)
573 (ML): MWT 65 BVL B16 (0, H2Ne)
574 (ML): BVL B16 MWT 65 (0, H2Ne)
575 (S): MWT 8 WHT C10 (1, H2Ne)
576 (S): WHT C10 MWT 8 (1, H2Ne)
577 (S): MWT 8 RVA R9 (0, H2Ne)
578 (S): RVA R9 MWT 8 (0, H2Ne)
579 (S): MWT 7 MPI A7 (1, H2Ne)
580 (S): MPI A7 MWT 7 (1, H2Ne)
581 (S): MWT 7 EIA C4 (0, H2Ne)
582 (S): EIA C4 MWT 7 (0, H2Ne)
701 (S): LAR Z16 CYR C9 (8, H2Nn)
702 (S): CYR C9 LAR Z16 (8, H2Nn)
703 (S): LAR Z16 GEP ?1 (5, H2Nn)
704 (S): GEP ?1 LAR Z16 (5, H2Nn)
705 (S): LAR Z16 MWL 15 (3, H2Nn)
706 (S): MWL 15 LAR Z16 (3, H2Nn)
707 (S): LAR Z16 LNT B10 (2, H2Nn)
708 (S): LNT B10 LAR Z16 (2, H2Nn)
709 (S): LAR Z16 FWC B6 (2, H2Nn)
710 (S): FWC B6 LAR Z16 (2, H2Nn)
711 (S): LAR X01 ZRZ 2 (5, H2Nn)
712 (S): ZRZ 2 LAR X01 (5, H2Nn)
713 (S): LAR X01 YNW B2 (4, H2Nn)
714 (S): YNW B2 LAR X01 (4, H2Nn)
715 (S): LAR X01 VEX 3 (3, H2Nn)
716 (S): VEX 3 LAR X01 (3, H2Nn)
717 (S): LAR X01 TBI S4 (3, H2Nn)
718 (S): TBI S4 LAR X01 (3, H2Nn)
719 (S): LAR X01 SVS A3 (5, H2Nn)
720 (S): SVS A3 LAR X01 (5, H2Nn)
721 (S): LAR 25 SSR A5 (5, H2Nn)
722 (S): SSR A5 LAR 25 (5, H2Nn)
723 (S): LAR 25 SND 3 (4, H2Nn)
724 (S): SND 3 LAR 25 (4, H2Nn)
725 (S): LAR 25 SAN C5 (4, H2Nn)
726 (S): SAN C5 LAR 25 (4, H2Nn)
727 (S): LAR 25 RVC A5 (3, H2Nn)
728 (S): RVC A5 LAR 25 (3, H2Nn)
729 (S): LAR 25 RED 9 (2, H2Nn)
730 (S): RED 9 LAR 25 (2, H2Nn)
731 (S): LAR 24 PIA A6 (5, H2Nn)
732 (S): PIA A6 LAR 24 (5, H2Nn)
733 (S): LAR 24 OCD 7 (4, H2Nn)
734 (S): OCD 7 LAR 24 (4, H2Nn)
735 (S): LAR 24 NPS 1 (3, H2Nn)
736 (S): NPS 1 LAR 24 (3, H2Nn)
737 (S): LAR 24 NIB 6 (3, H2Nn)
738 (S): NIB 6 LAR 24 (3, H2Nn)
739 (S): LAR 24 MWK 6 (4, H2Nn)
740 (S): MWK 6 LAR 24 (4, H2Nn)
741 (S): LAR 23 MPI A14 (5, H2Nn)
742 (S): MPI A14 LAR 23 (5, H2Nn)
743 (S): LAR 23 LPI 03 (4, H2Nn)
744 (S): LPI 03 LAR 23 (4, H2Nn)
745 (S): LAR 23 JDL B13 (3, H2Nn)
746 (S): JDL B13 LAR 23 (3, H2Nn)
747 (S): LAR 23 IAS A5 (3, H2Nn)
748 (S): IAS A5 LAR 23 (3, H2Nn)
749 (S): LAR 23 HGW 3 (5, H2Nn)
750 (S): HGW 3 LAR 23 (5, H2Nn)
751 (S): LAR 22 GSA 5 (5, H2Nn)
752 (S): GSA 5 LAR 22 (5, H2Nn)
753 (S): LAR 22 GLA 5 (4, H2Nn)
754 (S): GLA 5 LAR 22 (4, H2Nn)
755 (S): LAR 22 GBE 4 (3, H2Nn)
756 (S): GBE 4 LAR 22 (3, H2Nn)
757 (S): LAR 22 FCE 3 (4, H2Nn)
758 (S): FCE 3 LAR 22 (4, H2Nn)
759 (S): LAR 22 CWB 6 (4, H2Nn)
760 (S): CWB 6 LAR 22 (4, H2Nn)
901 (S): SEG D30 KWT 10 (21, H2Ne)
902 (S): KWT 10 SEG D30 (21, H2Ne)
903 (S): SEG D30 RAA B8 (7, H2Nn)
904 (S): RAA B8 SEG D30 (7, H2Nn)
905 (S): SEG D30 OSI A2 (7, H2Nn)
906 (S): OSI A2 SEG D30 (7, H2Nn)
907 (S): SEG D30 CYR C9 (8, H2Nn)
908 (S): CYR C9 SEG D30 (8, H2Nn)
909 (S): SEG D29 GEP ?2 (4, H2Nn)
910 (S): GEP ?2 SEG D29 (4, H2Nn)
911 (S): SEG D29 MWL 15 (4, H2Nn)
912 (S): MWL 15 SEG D29 (4, H2Nn)
913 (S): SEG D29 TBI S4 (4, H2Nn)
914 (S): TBI S4 SEG D29 (4, H2Nn)
915 (S): SEG D28 SVS B1 (5, H2Nn)
916 (S): SVS B1 SEG D28 (5, H2Nn)
917 (S): SEG D28 SSR A5 (5, H2Nn)
918 (S): SSR A5 SEG D28 (5, H2Nn)
919 (S): SEG D28 SND 3 (4, H2Nn)
920 (S): SND 3 SEG D28 (4, H2Nn)
921 (S): SEG D28 SIA A3 (4, H2Nn)
922 (S): SIA A3 SEG D28 (4, H2Nn)
923 (S): SEG D28 RVC A5 (5, H2Nn)
924 (S): RVC A5 SEG D28 (5, H2Nn)
925 (S): SEG D27 RSN 4 (5, H2Nn)
926 (S): RSN 4 SEG D27 (5, H2Nn)
927 (S): SEG D27 PMA 2 (4, H2Nn)
928 (S): PMA 2 SEG D27 (4, H2Nn)
929 (S): SEG D27 OPA B23 (5, H2Nn)
930 (S): OPA B23 SEG D27 (5, H2Nn)
931 (S): SEG D27 OCD 7 (4, H2Nn)
932 (S): OCD 7 SEG D27 (4, H2Nn)
933 (S): SEG D27 NPS 1 (4, H2Nn)
934 (S): NPS 1 SEG D27 (4, H2Nn)
935 (S): SEG D26 NIB 6 (5, H2Nn)
936 (S): NIB 6 SEG D26 (5, H2Nn)
937 (S): SEG D26 NGY B5 (4, H2Nn)
938 (S): NGY B5 SEG D26 (4, H2Nn)
939 (S): SEG D26 MPI A14 (5, H2Nn)
940 (S): MPI A14 SEG D26 (5, H2Nn)
941 (S): SEG D26 MBA 1 (4, H2Nn)
942 (S): MBA 1 SEG D26 (4, H2Nn)
943 (S): SEG D26 LPI 03 (5, H2Nn)
944 (S): LPI 03 SEG D26 (5, H2Nn)
945 (S): SEG D25 JDL B13 (5, H2Nn)
946 (S): JDL B13 SEG D25 (5, H2Nn)
947 (S): SEG D25 IAS A5 (5, H2Nn)
948 (S): IAS A5 SEG D25 (5, H2Nn)
949 (S): SEG D25 GSA 5 (5, H2Nn)
950 (S): GSA 5 SEG D25 (5, H2Nn)
951 (S): SEG D25 GLA 5 (5, H2Nn)
952 (S): GLA 5 SEG D25 (5, H2Nn)
953 (S): SEG D25 DJE 29 (5, H2Nn)
954 (S): DJE 29 SEG D25 (5, H2Nn)
1101 (S): VDA 34 KWT 10 (25, H2Nn)
1102 (S): KWT 10 VDA 34 (25, H2Nn)
1103 (S): VDA 34 RAA B8 (8, H2Nn)
1104 (S): RAA B8 VDA 34 (8, H2Nn)
1105 (S): VDA 34 OSI A2 (8, H2Nn)
1106 (S): OSI A2 VDA 34 (8, H2Nn)
1107 (S): VDA 34 GEP ?2 (5, H2Nn)
1108 (S): GEP ?2 VDA 34 (5, H2Nn)
1109 (S): VDA 33 MWL 15 (5, H2Nn)
1110 (S): MWL 15 VDA 33 (5, H2Nn)
1111 (S): VDA 33 LNT B10 (5, H2Nn)
1112 (S): LNT B10 VDA 33 (5, H2Nn)
1113 (S): VDA 33 SDZ N4 (5, H2Nn)
1114 (S): SDZ N4 VDA 33 (5, H2Nn)
1115 (S): VDA 33 FWC B6 (5, H2Nn)
1116 (S): FWC B6 VDA 33 (5, H2Nn)
1117 (S): VDA 32 YST 10 (5, H2Nn)
1118 (S): YST 10 VDA 32 (5, H2Nn)
1119 (S): VDA 32 WMA 10 (5, H2Nn)
1120 (S): WMA 10 VDA 32 (5, H2Nn)
1121 (S): VDA 32 WHT C10 (5, H2Nn)
1122 (S): WHT C10 VDA 32 (5, H2Nn)
1123 (S): VDA 32 TSN 1 (5, H2Nn)
1124 (S): TSN 1 VDA 32 (5, H2Nn)
1125 (S): VDA 32 TBI S4 (5, H2Nn)
1126 (S): TBI S4 VDA 32 (5, H2Nn)
1127 (S): VDA 31 SVS B1 (5, H2Nn)
1128 (S): SVS B1 VDA 31 (5, H2Nn)
1129 (S): VDA 31 SND 3 (5, H2Nn)
1130 (S): SND 3 VDA 31 (5, H2Nn)
1131 (S): VDA 31 SIA A3 (5, H2Nn)
1132 (S): SIA A3 VDA 31 (5, H2Nn)
1133 (S): VDA 31 SAN C5 (5, H2Nn)
1134 (S): SAN C5 VDA 31 (5, H2Nn)
1135 (S): VDA 30 RSN 4 (5, H2Nn)
1136 (S): RSN 4 VDA 30 (5, H2Nn)
1137 (S): VDA 30 PMA 2 (5, H2Nn)
1138 (S): PMA 2 VDA 30 (5, H2Nn)
1139 (S): VDA 30 PIA A7 (4, H2Nn)
1140 (S): PIA A7 VDA 30 (4, H2Nn)
1141 (S): VDA 30 OCD 7 (5, H2Nn)
1142 (S): OCD 7 VDA 30 (5, H2Nn)
1143 (S): VDA 30 NPS 1 (5, H2Nn)
1144 (S): NPS 1 VDA 30 (5, H2Nn)
1145 (S): VDA 16 NIB 6 (5, H2Nn)
1146 (S): NIB 6 VDA 16 (5, H2Nn)
1147 (S): VDA 16 NHR 20 (5, H2Nn)
1148 (S): NHR 20 VDA 16 (5, H2Nn)
1149 (S): VDA 16 NGY B5 (5, H2Nn)
1150 (S): NGY B5 VDA 16 (5, H2Nn)
